CenteredInterval[1067989636062445013744111 * 2^-76, 536887342 * 2^-107]
CenteredInterval[397095101566767580424775 * 2^-74, 536887324 * 2^-106]
CenteredInterval[3779533937417798460070747 * 2^-77, 536887321 * 2^-106]
CenteredInterval[4597677288391034448811537 * 2^-77, 536887307 * 2^-106]
CenteredInterval[622125723812748280902337 * 2^-74, 536879107 * 2^-105]
CenteredInterval[2839931327302487397810941 * 2^-76, 536879107 * 2^-105]
CenteredInterval[772932748739705001010843 * 2^-74, 536879114 * 2^-105]
CenteredInterval[1636850549301039567392945 * 2^-75, 536879107 * 2^-105]
CenteredInterval[3627166648421184157358993 * 2^-76, 536879108 * 2^-105]
CenteredInterval[470100556433056536770347 * 2^-73, 536879108 * 2^-105]
CenteredInterval[2001162165865510923629297 * 2^-75, 536879107 * 2^-105]
CenteredInterval[1066239472833480298376517 * 2^-74, 536879118 * 2^-105]
CenteredInterval[2242067931642234765772439 * 2^-75, 536879110 * 2^-105]
CenteredInterval[2298159615983734745371749 * 2^-75, 536879110 * 2^-105]
CenteredInterval[2459882365016271903832067 * 2^-75, 536875010 * 2^-104]
CenteredInterval[2534203591373836756209195 * 2^-75, 536875010 * 2^-104]
CenteredInterval[2627388771560289118979895 * 2^-75, 536875010 * 2^-104]
CenteredInterval[2722620239341242286555297 * 2^-75, 536875009 * 2^-104]
CenteredInterval[715010587906734672039259 * 2^-73, 536875010 * 2^-104]
CenteredInterval[728612414135187186546941 * 2^-73, 536875010 * 2^-104]
CenteredInterval[2997281285075880438509673 * 2^-75, 536875010 * 2^-104]
CenteredInterval[1566132814509172070227545 * 2^-74, 536875010 * 2^-104]
CenteredInterval[3201216415685038498796133 * 2^-75, 536875010 * 2^-104]
CenteredInterval[3302833492709576577930629 * 2^-75, 536875013 * 2^-104]
CenteredInterval[838778340280751921038201 * 2^-73, 536875010 * 2^-104]
CenteredInterval[218390322526120386583837 * 2^-71, 536875010 * 2^-104]
CenteredInterval[3575826677244117219041777 * 2^-75, 536875011 * 2^-104]
CenteredInterval[905472539541842053337959 * 2^-73, 536875011 * 2^-104]
CenteredInterval[3733736952303825294417495 * 2^-75, 536875009 * 2^-104]
CenteredInterval[3827680189646771968185151 * 2^-75, 536875010 * 2^-104]
CenteredInterval[3918640034079802296015709 * 2^-75, 536875012 * 2^-104]
CenteredInterval[995915196868188863617475 * 2^-73, 536875011 * 2^-104]
CenteredInterval[506089457472315902047645 * 2^-72, 536875010 * 2^-104]
CenteredInterval[2097288629030593756712377 * 2^-74, 536875011 * 2^-104]
CenteredInterval[1056626281559789993642055 * 2^-73, 536875012 * 2^-104]
CenteredInterval[4318895836523098236555277 * 2^-75, 536875010 * 2^-104]
